office,office_type,office_district,total_votes,winner,winner_party,winner_percent,winner_margin,vep2020,vep2022,vep2024,vep total voters,vep % of margin,vep won race
STATE REPRESENTATIVE DISTRICT 66,HD,66,37098,MATT SHAHEEN,R,61.11,21196,976,1236,5291,7503,35.4,Over 25%
STATE REPRESENTATIVE DISTRICT 67,HD,67,37051,JEFF LEACH,R,60.23,19056,1208,1242,5257,7707,40.44,Over 25%
STATE REPRESENTATIVE DISTRICT 68,HD,68,11705,DAVID SPILLER,R,87.17,67849,1409,2115,1217,4741,6.99,
STATE REPRESENTATIVE DISTRICT 69,HD,69,14518,JAMES B FRANK,R,78.68,39065,686,957,674,2317,5.93,
STATE REPRESENTATIVE DISTRICT 7,HD,7,20520,JAY DEAN,R,74.21,38536,1029,1385,206,2620,6.8,
STATE REPRESENTATIVE DISTRICT 70,HD,70,34933,MIHAELA ELIZABETH PLESA,D,52.22,3250,646,670,3608,4924,,
STATE REPRESENTATIVE DISTRICT 71,HD,71,13678,STAN LAMBERT,R,81.03,44735,699,1302,578,2579,5.77,
STATE REPRESENTATIVE DISTRICT 73,HD,73,36686,CARRIE ISAAC,R,71.48,55238,1638,3228,5924,10790,19.53,
STATE REPRESENTATIVE DISTRICT 74,HD,74,26378,EDDIE MORALES JR,D,51.67,1825,271,390,390,1051,,
STATE REPRESENTATIVE DISTRICT 76,HD,76,30615,SULEMAN LALANI,D,56.5,9155,834,339,208,1381,,
STATE REPRESENTATIVE DISTRICT 8,HD,8,13961,CODY HARRIS,R,81.36,46977,1049,1502,2275,4826,10.27,
STATE REPRESENTATIVE DISTRICT 80,HD,80,31182,DON MCLAUGHLIN JR,R,59.49,9951,392,485,1250,2127,21.37,
STATE REPRESENTATIVE DISTRICT 82,HD,82,10555,TOM CRADDICK,R,82.73,39991,771,881,231,1883,4.71,
STATE REPRESENTATIVE DISTRICT 84,HD,84,20733,CARL H. TEPPER,R,64.1,16288,440,709,354,1503,9.23,
STATE REPRESENTATIVE DISTRICT 87,HD,87,42317,CAROLINE FAIRLY,R,79.3,31269,397,788,248,1433,4.58,
STATE REPRESENTATIVE DISTRICT 89,HD,89,36292,CANDY NOBLE,R,60.63,19608,1080,1078,4501,6659,33.96,Over 25%
STATE REPRESENTATIVE DISTRICT 93,HD,93,34871,NATE SCHATZLINE,R,60.55,18661,1283,1127,313,2723,14.59,
STATE REPRESENTATIVE DISTRICT 94,HD,94,34937,TONY TINDERHOLT,R,55.62,8848,892,550,174,1616,18.26,
STATE REPRESENTATIVE DISTRICT 96,HD,96,36276,DAVID COOK,R,57.37,12538,994,761,216,1971,15.72,
STATE REPRESENTATIVE DISTRICT 97,HD,97,51432,JOHN MCQUEENEY,R,58.07,14300,1025,1051,320,2396,16.76,
STATE REPRESENTATIVE DISTRICT 98,HD,98,33845,GIOVANNI CAPRIGLIONE,R,65.7,30988,831,1177,270,2278,7.35,
STATE REPRESENTATIVE DISTRICT 99,HD,99,28233,CHARLIE GEREN,R,62.82,19475,1083,811,253,2147,11.02,
